category_names,per_cat_tracks,cat_in_n_vids
airplane,93,64
bear,118,75
bird,113,88
boat,62,57
car,339,185
cat,121,93
cow,58,41
deer,116,67
dog,246,161
duck,82,42
earless_seal,59,34
elephant,68,42
fish,170,66
flying_disc,55,29
fox,78,55
frog,56,39
giant_panda,218,149
giraffe,77,45
horse,111,66
leopard,88,57
lizard,150,129
monkey,300,173
motorbike,91,65
mouse,51,36
parrot,155,119
person,2232,1180
rabbit,116,76
shark,39,27
skateboard,113,103
snake,75,72
snowboard,104,77
squirrel,22,14
surfboard,81,72
tennis_racket,41,36
tiger,53,43
train,72,65
truck,100,60
turtle,71,54
whale,30,18
zebra,59,32
